Area,Model Script,Balanced Accuracy (%),Testing Accuracy (%),Training Accuracy (%),Precision (%),Recall (%),F1 Score (%)
Anuradhapura,random_forest.py,57.43,56.69,,,,20.29
Anuradhapura,random_forest_with_smote_data.py,47.46,72.44,77.78,,,10.26
Anuradhapura,tuned_random_forest.py,64.12,62.06,58.73,,,25.0
Anuradhapura,tuned_random_forest_with_bo_smote.py,55.43,59.84,64.88,11.76,50.0,19.05
Anuradhapura,tuned_random_forest_with_smote.py,57.95,71.15,69.58,14.49,41.67,21.51
Anuradhapura,tuned_xgboost.py,63.78,64.82,64.81,15.79,62.5,25.21
Anuradhapura,tuned_xgboost_with_bo_smote.py,40.33,52.76,63.89,5.56,25.0,9.09
Anuradhapura,tuned_xgboost_with_smote.py,52.14,70.75,72.22,10.94,29.17,15.91
Anuradhapura,xgboost_basic.py,64.38,69.29,,,,26.42
Anuradhapura,xgboost_with_smote_data.py,53.3,89.76,99.4,33.33,8.33,13.33
Ella,random_forest.py,58.71,72.22,81.94,22.22,40.0,28.57
Ella,random_forest_with_smote_data.py,55.48,66.67,80.56,18.18,40.0,25.0
Ella,tuned_random_forest.py,58.71,72.22,76.39,22.22,40.0,28.57
Ella,tuned_random_forest_with_bo_smote.py,55.16,80.56,81.94,25.0,20.0,22.22
Ella,tuned_random_forest_with_smote.py,75.48,72.22,77.08,30.77,80.0,44.44
Ella,tuned_xgboost.py,53.55,77.78,87.5,20.0,20.0,20.0
Ella,tuned_xgboost_with_bo_smote.py,51.94,75.0,84.72,16.67,20.0,18.18
Ella,tuned_xgboost_with_smote.py,55.48,66.67,77.78,18.18,40.0,25.0
Ella,xgboost_basic.py,48.71,69.44,88.89,12.5,20.0,15.38
Ella,xgboost_with_smote_data.py,48.71,69.44,91.67,12.5,20.0,15.38
Kiribathgoda,random_forest.py,61.11,68.18,86.36,28.57,50.0,36.36
Kiribathgoda,random_forest_with_smote_data.py,63.89,72.73,87.5,33.33,50.0,40.0
Kiribathgoda,tuned_random_forest.py,61.11,68.18,75.0,28.57,50.0,36.36
Kiribathgoda,tuned_random_forest_with_bo_smote.py,63.89,72.73,84.09,33.33,50.0,40.0
Kiribathgoda,tuned_random_forest_with_smote.py,47.22,77.27,86.36,0.0,0.0,0.0
Kiribathgoda,tuned_xgboost.py,63.89,72.73,84.09,33.33,50.0,40.0
Kiribathgoda,tuned_xgboost_with_bo_smote.py,66.67,77.27,94.32,40.0,50.0,44.44
Kiribathgoda,tuned_xgboost_with_smote.py,66.67,77.27,89.77,40.0,50.0,44.44
Kiribathgoda,xgboost_basic.py,59.72,81.82,96.59,50.0,25.0,33.33
Kiribathgoda,xgboost_with_smote_data.py,66.67,77.27,89.77,40.0,50.0,44.44
